"","designation","KBI","NSR","PTL","PTN"
"1","CNT1",NA,438.555555555556,547.388888888889,NA
"2","PTL00048-B-B-42-2",949.25,490.75,588,565.75
"3","PTL00048-B-B-42-2-2-2",632.75,630,594.75,NA
"4","PTL00060- B-B-23-1",398.875,464.375,546.125,NA
"5","PTL00060-B-B-23-1",651.125,510.25,542.875,547.375
"6","PTL00060-B-B-23-1-1-1",630.666666666667,604.125,688.375,NA
"7","PTL03037-63-2-2-1",NA,474.4375,561.5625,710.9375
"8","PTL03037-63-2-2-1-1-2",553.083333333333,615.375,608.375,NA
"9","PTL03037-63-2-2-1-2-1",625.75,579.5,665.5,NA
"10","PTL03037-88-1-1-1",NA,532.25,541.5,769.25
"11","PTL03037-88-1-1-1-1-1",673,622.25,663,NA
"12","PTL03037-88-1-1-1-2-1",619.875,563.5,573.25,NA
"13","PTL03037-88-1-1-2",NA,535.625,548.125,755.375
"14","PTL03037-88-1-1-2-1-2",489,611.5,673.25,NA
"15","PTL03038-42-2-2-1",NA,462.375,546.5,674.75
"16","PTL03038-42-2-2-1-1-1",518.083333333333,574.5,599.75,NA
"17","PTL03038-58-2-2-2",NA,536.25,480.625,633.875
"18","PTL03038-58-2-2-2-2-1",629.25,555.5,608.5,NA
"19","PTL06001-141-1-2-2",531,445.25,588.75,NA
"20","PTL08002-38-1-2-2",550.5,439.375,504.75,618.375
"21","PTL08002-38-1-2-2-2-2",455,403.75,567.5,NA
"22","PTL08002-42-2-2-2",NA,NA,547.5,NA
"23","PTL08002-47-1-2-1",486,447.5,517.166666666667,NA
"24","PTL08002-47-1-2-1-1-2",524.416666666667,427.125,576.625,NA
"25","PTL08002-47-2-2-2",397.75,512.375,478,714.75
"26","PTL08002-47-2-2-2-2-1",628.5,632.875,600.625,NA
"27","PTL08005-62-2-1-2-2-2",587.75,600.25,570.75,NA
"28","PTL08020-24-1-1-1",NA,559,533,730.5
"29","PTL08020-24-1-1-1-1-2",630.625,646.5,561.75,NA
"30","PTL09001-20-1-1-2",678,472.5,565,668.875
"31","PTL09001-20-1-1-2-2-2",514.75,630.25,668.5,NA
"32","PTL09001-56-1-2-1",540.75,NA,528.125,NA
"33","PTL09001-56-1-2-1-1-2",557.375,367,439.25,NA
"34","PTL09001-72-2-1-1",892.5,508.25,565.25,538.75
"35","PTL09001-72-2-1-2",698.25,496.416666666667,539.916666666667,632.833333333333
"36","PTL09001-72-2-1-2-1-1",558.375,663.75,640,NA
"37","PTL09001-72-2-1-2-1-2",508.916666666667,569.75,621.125,NA
"38","PTL09002-44-2-2-2",869.75,493,415,363.5
"39","PTL09004-27-2-1-2-1-1",508.25,604.25,622,NA
"40","PTL09004-67-1-1-1",771.5,583,541.75,NA
"41","PTL09004-67-1-1-2",1157.25,550.166666666667,558.916666666667,NA
"42","PTL09004-67-1-1-2-1-1",393,646.75,623,NA
"43","PTL09004-67-1-1-2-2-2",562.25,636.75,633.75,NA
"44","PTL09019-30-1-2-2-2-1",629.625,531.5,575.75,NA
"45","PTL09019-30-1-2-2-2-2",NA,566.25,510.125,NA
"46","PTL09019-52-2-1-1",808.25,481,475,444.5
"47","PTL09020-29-2-2-2",NA,540,589.75,676.5
"48","PTL09020-29-2-2-2-2-1",655.75,692.5,700,NA
"49","PTL09020-29-2-2-2-2-2",689,663.5,682.5,NA
"50","PTL09020-50-2-1-1",NA,496.375,471.375,620.875
"51","PTL09020-50-2-1-1-1-2",580.083333333333,634,586.875,NA
"52","PTL09020-56-2-2-1",NA,554.125,537.125,753.125
"53","PTL09020-56-2-2-2",NA,503.583333333333,486.916666666667,NA
"54","PTL09020-56-2-2-2-1-2",746.25,521.5,666.25,NA
"55","PTL09020-56-2-2-2-2-1",600,410.5,491,NA
"56","PTL09022-37-2-1-1",561,542.25,529,NA
"57","PTL09022-37-2-1-2",526,495.25,502.75,NA
"58","PTL09022-37-2-1-2-1-2",604.875,586,576.75,NA
"59","PTL09022-37-2-1-2-2-1",552.416666666667,580.625,606.25,NA
"60","PTL10001-139-1-1-1",636.125,555.125,554.125,662.875
"61","PTL10001-139-1-1-1-1-1",575.875,731.25,644.25,NA
"62","PTL10001-139-1-1-1-1-2",544.25,627.5,625,NA
"63","PTL10001-139-1-1-1-2-1",549.75,736.5,614.25,NA
"64","PTL10001-139-1-1-1-2-2",596.75,748.75,643,NA
"65","PTL10001-139-1-1-2",582.7,479.15,561.05,642.3
"66","PTL10001-139-1-2-1",NA,528,560.625,761.875
"67","PTL10001-139-1-2-1-1-1",570.375,759.25,654.25,NA
"68","PTL10001-139-1-2-1-1-2",600.5,634.5,582,NA
"69","PTL10001-139-1-2-2-2-1",538.875,785.5,688.5,NA
"70","PTL10001-139-1-2-2-2-2",556.375,741.75,660,NA
"71","PTL10001-139-2-2-2",NA,532.083333333333,553.666666666667,NA
"72","PTL10001-142-1-1-1",755.75,526.625,513.1875,NA
"73","PTL10001-142-1-1-1-1-1",572.625,706.5,600,NA
"74","PTL10001-142-1-1-1-1-2",576.75,691.75,578.5,NA
"75","PTL10001-216-1-1-1",809,577.375,579.875,NA
"76","PTL10001-216-1-1-2-1-2",625.625,663.25,650.5,NA
"77","PTL10001-216-1-1-2-2-1",611.375,664.75,643,NA
"78","PTL10001-95-2-2-1",415.9375,485,569.3125,NA
"79","PTL10001-95-2-2-2",507.375,548.375,561.75,556.75
"80","PTL10001-95-2-2-2-2-1",470,494.25,662.5,NA
"81","PTL10001-95-2-2-2-2-2",491.75,510.75,668,NA
"82","PTL10004-40-1-1-1",1006.25,525.25,534.75,505.25
"83","PTL10004-40-1-1-1-1-2",677.8125,589.75,587.5,NA
"84","PTL11001-10-2-1-2",NA,500.875,476.5,653
"85","PTL11001-11-1-1-1",698.625,559.25,505.125,NA
"86","PTL11001-11-1-1-2",753.5,600,497.25,NA
"87","PTL11001-11-1-2-1",774.5,554.5,547.625,NA
"88","PTL11001-11-2-1-2",971.5,614,551.25,445.5
"89","PTL11001-14-1-1-1",691.125,512.375,519.375,NA
"90","PTL11001-9-1-2-1",NA,483.833333333333,501.916666666667,NA
"91","PTL11001-9-1-2-2",NA,536.125,542.625,765.625
"92","PTL11002-32-2-1-2",530.083333333333,480.5,516.416666666667,NA
"93","PTL11011-43-1-1-2",966,542.5,606.75,598.75
"94","PTL11011-44-1-2-2",642.083333333333,542.583333333333,484.416666666667,NA
"95","PTL11011-59-1-1-1",440,602.75,467.25,NA
"96","PTL12001-56-1-2-2",245.5,591.5,468,691.5
"97","PTL12001-7-2-1-1",308.5,537.5,462.75,742
"98","PTL12001-7-2-1-2",371,565.25,514.25,704.25
"99","PTL12003-11-1-1-2",236,457.75,439.25,755.25
"100","PTL12004-22-1-2-1",530.25,436,563.5,822
"101","PTL12004-22-2-2-1",504,542.75,619.75,785.25
"102","PTL12012-39-2-2-2",529.25,581,473.5,NA
"103","PTL12012-78-2-1-2",413.5,364.5,564.5,NA
"104","PTL12012-78-2-2-1",413.5,469.5,461.75,NA
"105","PTL12012-78-2-2-2",393.25,607,540.5,NA
"106","PTL99024-4-3-3-2",609.125,514.25,509.5,629.375
"107","PTL99024-4-3-3-2-2-2",509.125,602.75,637.5,NA
"108","PTT04080-PTL-B-B-12-1",NA,460.25,499.25,409
"109","PTT04080-PTL-B-B-12-1-2-1",NA,450.25,550.25,NA
"110","RD31",NA,502.25,533.055555555556,NA
"111","RD37",NA,478.583333333333,523.416666666667,NA
"112","RD55",NA,581.791666666667,589.979166666667,NA
